vvp -N testbench_wb.vvp

Memory Mapping Test:
addr 000003C8: 00001000
addr 000003CC: 00001000
addr 000003D0: 00001000
addr 000003D4: 00020000
addr 000003D8: 000003D0
addr 000003DC: 000000C4
addr 000003E0: 00000093
addr 000003E4: 00000113
addr 000003E8: 00000193
addr 000003EC: 00000213
addr 000003F0: 00000293
addr 000003F4: 00000313
addr 000003F8: 00000393
addr 000003FC: 00000413
addr 00000400: 00000493
addr 00000404: 00000513
addr 00000408: 00000593
addr 0000040C: 00000613
addr 00000410: 00000693
addr 00000414: 00000713
addr 00000418: 00000793
addr 0000041C: 00000813
addr 00000420: 00000893
addr 00000424: 00000913
addr 00000428: 00000993
addr 0000042C: 00000A13
addr 00000430: 00000A93
addr 00000434: 00000B13
addr 00000438: 00000B93
addr 0000043C: 00000C13
addr 00000440: 00000C93
addr 00000444: 00000D13
addr 00000448: 00000D93
addr 0000044C: 00000E13
addr 00000450: 00000E93
addr 00000454: 00000F13
addr 00000458: 00000F93
addr 0000045C: 00020137
addr 00000460: 16B000EF
addr 00000464: 00020137
addr 00000468: DEADC1B7
addr 0000046C: EEF18193
addr 00000470: 00018213
addr 00000474: 10000537
addr 00000478: 04400593
addr 0000047C: 04F00613
addr 00000480: 04E00693
addr 00000484: 04500713
addr 00000488: 00A00793
addr 0000048C: C110C10C
addr 00000490: C118C114
addr 00000494: 0537C11C
addr 00000498: D5B72000
addr 0000049C: 8593075B
addr 000004A0: C10CD155
addr 000004A4: 00009002
addr 000004A8: C2A6715D
addr 000004AC: DC52C0CA
addr 000004B0: C4A2C686
addr 000004B4: DA56DE4E
addr 000004B8: D65ED85A
addr 000004BC: D266D462
addr 000004C0: CE6ED06A
addr 000004C4: 0065F493
addr 000004C8: 8A2E892A
addr 000004CC: 4118C4BD
addr 000004D0: 00177693
addr 000004D4: FFC70793
addr 000004D8: 0793C299
addr 000004DC: D403FFD7
addr 000004E0: 470D0007
addr 000004E4: 00347613
addr 000004E8: 00E61663
addr 000004EC: 0027D783
addr 000004F0: 8C5D07C2
addr 000004F4: 00347993
addr 000004F8: FFD98793
addr 000004FC: 00F037B3
addr 00000500: 02D78D63
addr 00000504: 00001537
addr 00000508: C3850513
addr 0000050C: 25032CB1
addr 00000510: 45A10009
addr 00000514: 15372C4D
addr 00000518: 05130000
addr 0000051C: 24A9C745
addr 00000520: 45A1478D
addr 00000524: 00F98363
addr 00000528: 85224591
addr 0000052C: 15372C69
addr 00000530: 05130000
addr 00000534: 2C0DCBC5
addr 00000538: 77939002
addr 0000053C: C799010A
addr 00000540: 27836705
addr 00000544: 0785DA07
addr 00000548: DAF72023
addr 0000054C: 020A7793
addr 00000550: 6705C799
addr 00000554: D9C72783
addr 00000558: 2E230785
addr 0000055C: 7793D8F7
addr 00000560: C799001A
addr 00000564: 27836705
addr 00000568: 0785D987
addr 0000056C: D8F72C23
addr 00000570: 14048663
addr 00000574: 00092783
addr 00000578: 0017F713
addr 0000057C: FFC78A93
addr 00000580: 8A93C319
addr 00000584: D403FFD7
addr 00000588: 478D000A
addr 0000058C: 00347713
